station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min,raceId,circuitId
95866,Melbourne,2009-03-29,Autumn,,7.1,25.3,0.0,,,,,,,1,1
,Kuala Lumpur,2009-04-05,Spring,26.8,24.0,31.7,10.4,,119.0,5.7,,,,2,2
58362,Shanghai,2009-04-19,Spring,18.7,16.4,22.2,9.5,,,,,,,3,17
,Sakhir,2009-04-26,Spring,30.1,25.0,37.1,,,,,,,,4,3
,Montmeló,2009-05-10,Spring,20.1,14.7,23.7,1.3,,73.0,11.8,,1011.4,,5,4
,Monte-Carlo,2009-05-24,Spring,21.5,16.8,24.4,0.0,,,6.3,,1019.7,,6,6
,Istanbul,2009-06-07,Summer,21.8,13.3,27.8,0.1,,195.2,11.0,,1010.4,,7,5
,Nürburg,2009-07-12,Summer,16.6,11.1,21.9,2.4,0.0,192.3,10.6,33.3,1011.2,248.0,9,20
12843,Budapest,2009-07-26,Summer,20.1,15.1,24.8,0.0,,299.0,12.8,,1021.2,,10,11
08285,Valencia,2009-08-23,Summer,,21.8,32.0,0.0,,,,,,,11,12
80472,Valencia,2009-08-23,Summer,26.6,,33.4,0.0,,,,,,,11,12
,Spa,2009-08-30,Summer,15.3,10.7,21.0,0.0,,,,,,,12,13
,Monza,2009-09-13,Autumn,19.4,15.6,24.3,3.7,,265.0,11.5,,1013.3,,13,14
,Marina Bay,2009-09-27,Autumn,29.4,27.1,32.7,0.0,,,8.5,,,,14,15
,Suzuka,2009-10-04,Autumn,20.5,17.2,25.7,1.7,,140.0,8.0,,1014.7,,15,22
83780,São Paulo,2009-10-18,Spring,20.2,,,35.1,,,,,,,16,18
41217,Abu Dhabi,2009-11-01,Autumn,28.2,21.0,36.5,,,,,,,,17,24
95866,Melbourne,2008-03-16,Autumn,,17.4,39.8,0.0,,,,,,,18,1
,Kuala Lumpur,2008-03-23,Spring,26.7,23.4,31.2,11.2,,100.3,6.1,,,,19,2
,Sakhir,2008-04-06,Spring,24.9,23.0,29.0,0.0,,328.0,19.7,,,,20,3
,Montmeló,2008-04-27,Spring,19.7,13.2,25.2,0.4,,101.0,12.0,,1020.3,,21,4
,Istanbul,2008-05-11,Spring,13.0,5.7,17.5,1.5,,317.0,8.7,,1016.8,,22,5
,Monte-Carlo,2008-05-25,Spring,19.1,17.2,22.8,1.0,,40.0,16.0,,1013.6,,23,6
,Montreal,2008-06-08,Summer,15.8,11.4,20.7,1.6,0.0,176.6,17.6,,1011.0,,24,7
,Magny Cours,2008-06-22,Summer,22.1,16.9,27.8,1.7,,199.8,12.6,,1016.2,,25,8
,Hockenheim,2008-07-20,Summer,15.5,11.5,20.8,2.3,0.0,252.8,15.4,43.7,1010.6,334.5,27,10
12843,Budapest,2008-08-03,Summer,25.1,20.4,30.0,,,,8.7,,1015.8,,28,11
08285,Valencia,2008-08-24,Summer,,22.2,29.7,0.0,,,,,,,29,12
80472,Valencia,2008-08-24,Summer,23.8,20.8,,2.0,,,,,,,29,12
